//menu
"menu_accueil","LiveOptim"
"hintMotCle_destination","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>			<p>Renseignez ici une ou plusieurs pages associées au mot-clé. </p><p>Il s'agit de la page que vous souhaitez positionner sur cette expression clé.</p>            <h2>Conseils d'utilisation :</h2>            <ul>            <li>Renseignez plusieurs URLs pour un même mot-clé afin de diversifier les pages cibles.<br />Il vous suffit d'ajouter le même mot-clé avec une URL différente</li>                </ul>    	   			</div>
"hintMotCle_requete","	<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/><p> Renseignez ici les expressions clés sur lesquelles vous souhaitez être visible dans les moteurs. </p>            <h2>Conseils d'utilisation :</h2>            <ul>            <span class='mc'><li >Multipliez les clés d'entrées sur votre site : <br />Mixez mots-clés génériques et mots-clés plus longue traine. </li></span><br /><li> Exemple : <br />mot-clé générique : 'mode'<br />mot-clé longue traine : "blog de mode féminine"<br /><br />mot-clé générique : 'voyage'<br />mot-clé longue traine : 'voyage londres pas cher'<br /></li><br /><li>Ces mots-clés&#44; pris individuellement&#44; génèrent peu de trafic mais&#44; une fois cumulés&#44; peuvent peser jusqu’à 80 &#37; de votre trafic.</li>                </ul>    	   			</div>
"listerMotCle_accueil","Accueil"
"listerMotCle_mots_cles","Mots Clés"
"listerMotCle_titre","Gestion des expressions clés et des pages cibles"
"listerMotCle_table_requete","Mot Clés"
"listerMotCle_table_destination","Adresse de la page cible (<em>avec préfixe HTTP://)"
"listerMotCle_table_position","Position"
"listerMotCle_table_action","Action"
"listerMotCle_confirmation_suppression","Etes-vous sur de vouloir supprimer ce mot clé ?"
"listerMotCle_supprimer","Supprimer"
"listerMotCle_modifier","Modifier"
"listerMotCle_monter","Monter"
"listerMotCle_descendre","Descendre"
"listerMotCle_ajouter","Ajouter"
"listerMotCle_msg_alert","Veuillez remplir le champ Mot-clé !"

// listerPattern.php
"hintPattern","	<div class='hint2'><img  src='%s' alt='?'/>	<p>Paramétrez les balises ajoutées par LiveOptim sur un même mot clé à chaque fois qu'il sera rencontré dans une page (hors pages cibles), en utilisant <span class='mc'>{mc}</span> pour indiquer l'expression clé et <span class='url'>{url}</span> pour indiquer l'URL cible pour les liens. Vous pouvez également choisir de traiter le schéma en boucle.</p><h2>Exemple, pour opérer le traitement ci-dessous : </h2><ul><li>&lt;strong&gt;<span class='mc'>Expression clé</span>&lt;/strong&gt;<em> (première occurence)</em></li><li>&lt;a href=”<span class='url'>http://www.example.com/page-cible.html</span>”&gt;<span class='mc'>Expression clé</span>&lt;/a&gt;<em>(deuxième occurence)</em></li><li><span class='mc'>Expression clé</span><em> (troisième occurence)</em></li></ul><h2>Renseignez la structure suivante</h2><ul>	<li>&lt;strong&gt;<span class='mc'>{mc}</span>&lt;/strong&gt;</li>	<li>&lt;a href=”<span class='url'>{url}</span>”&gt;<span class='mc'>{mc}</span>&lt;/a&gt;</li>	<li><span class='mc'>{mc}</span></li>	</ul></div>	   	"
"listerPattern_accueil","Accueil"
"hintPattern_structure","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>	<p>Paramétrez les balises ajoutées par LiveOptim sur un même mot clé à chaque fois qu'il sera rencontré dans une page (hors pages cibles), en utilisant <span class="mc">{mc}</span> pour indiquer l'expression clé et 		<span class="url">{url}</span> pour indiquer 		l'URL cible pour les liens. Vous pouvez également choisir de traiter le schéma en boucle.</p><h2>Exemple, pour opérer le traitement ci-dessous : </h2>				<ul><li>&lt;strong&gt;<span class="mc">Expression clé</span>&lt;/strong&gt;<em> (première occurence)</em></li>		<li>&lt;a href=”<span class="url">http://www.example.com/page-cible.html</span>”&gt;<span class="mc">Expression clé</span>&lt;/a&gt;<em>(deuxième occurence)</em></li><li><span class="mc">Expression clé</span><em> (troisième occurence)</em></li>				</ul>		<h2>Renseignez la structure suivante</h2>				<ul>			<li>&lt;strong&gt;<span class="mc">{mc}</span>&lt;/strong&gt;</li>			<li>&lt;a href=”<span class="url">{url}</span>”&gt;<span class="mc">{mc}</span>&lt;/a&gt;</li>					<li><span class="mc">{mc}</span></li>	</ul>		</div>"
"listerPattern_pattern","Schéma de balisage global"
"listerPattern_titre","Schéma de balisage global"
"listerPattern_boucler","Effectuer le traitement en boucle : "
"listerPattern_text","<div style='margin-top:20px'><p><span style='font-size: 18px;font-weight:bold; color:#bf4122'>Bienvenue dans votre espace Optimisation :Personnalisez ici les optimisations appliquées à vos contenus !</span></p><ol style='font-size:14px;'><li>Solution 1 : laissez le paramétrage par défaut</li><li>Solution 2 : personnalise le pour s'adapter à vos pratiques !</li></ol><em>(NB: Plus de conseils en cliquant sur <img class='hint' src='/skin/adminhtml/base/default/img/hint.png' alt='?'> à côté de chaque élément)</em></div>"
"listerPattern_oui","Oui"
"listerPattern_non","Non"
"listerPattern_table_structure","Structure"
"listerPattern_table_position","Position"
"listerPattern_table_action","Action"
"listerPattern_confirmation_suppression","Etes-vous sur de vouloir supprimer ce schéma ?"
"listerPattern_supprimer","Supprimer"
"listerPattern_modifier","Modifier"
"listerPattern_monter","Monter"
"listerPattern_descendre","Descendre"
"listerPattern_ajouter","Ajouter"



// listerPatternCible.php
"hintPatternCible","	<div class='hint2'><img  src='%s' alt='?'/>	<p>Paramétrez les balises ajoutées par LiveOptim sur un même mot clé à chaque fois qu'il sera rencontré dans une page cible associée, en utilisant <span class='mc'>{mc}</span> pour indiquer l'expression clé et <span class='url'>{url}</span> pour indiquer l'URL cible pour les liens. Vous pouvez également choisir de traiter le schéma en boucle.</p><h2>Exemple, opérer le traitement ci-dessous : </h2><ul><li>&lt;strong&gt;<span class='mc'>Expression clé</span>&lt;/strong&gt;</li><li>&lt;a href=”<span class='url'>http://www.example.com/page-cible.html</span>”&gt;<span class='mc'>Expression clé</span>&lt;/a&gt;</li><li><span class='mc'>Expression clé</span></li></ul><h2>Renseignez la structure suivante</h2><ul>	<li>&lt;strong&gt;<span class='mc'>{mc}</span>&lt;/strong&gt;</li>	<li>&lt;a href=”<span class='url'>{url}</span><span class='mc'>{mc}</span>&lt;/a&gt;</li>	<li><span class='mc'>{mc}</span></li>	</ul></div>	   	"
"listerPatternCible_accueil","Accueil"
"hintPattern_cible_structure","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>	<p>Paramétrez les balises ajoutées par LiveOptim sur un même mot clé à chaque fois qu'il sera rencontré dans une page cible associée, en utilisant <span class="mc">{mc}</span> pour indiquer l'expression clé et 		<span class="url">{url}</span> pour indiquer l'URL cible pour les liens. Vous pouvez également choisir de traiter le schéma en boucle.</p><h2>Exemple, opérer le traitement ci-dessous : </h2>				<ul><li>&lt;strong&gt;<span class="mc">Expression clé</span>&lt;/strong&gt;</li>		<li>&lt;a href=”<span class="url">http://www.example.com/page-cible.html</span>”&gt;<span class="mc">Expression clé</span>&lt;/a&gt;</li><li><span class="mc">Expression clé</span></li>				</ul>		<h2>Renseignez la structure suivante</h2>				<ul>			<li>&lt;strong&gt;<span class="mc">{mc}</span>&lt;/strong&gt;</li>			<li>&lt;a href=”<span class="url">{url}</span>”&gt;<span class="mc">{mc}</span>&lt;/a&gt;</li>					<li><span class="mc">{mc}</span></li>	</ul>		</div>"
"listerPatternCible_text","<div style='margin-top:20px'>
<p><span style='font-size: 18px;font-weight:bold; color:#bf4122'>Bienvenue dans votre espace Optimisation :
Personnaliser ici les optimisations appliquées spécifiquement aux pages cibles (c'est-à-dire les pages associés à un mot-clé)!
</span></p><ol style='font-size:14px;'><li>
Solution 1 : laissez le paramétrage par défaut</li>
<li>Solution 2 : personnalise le pour s'adapter à vos pratiques !</li></ol>
<em>(NB: Plus de conseils en cliquant sur <img class='hint' src='/skin/adminhtml/base/default/img/hint.png' alt='?'> à côté de chaque élément)</em></div>

"
"listerPatternCible_pattern","Schéma de balisage sur page cible"
"listerPatternCible_titre","Schéma de balisage sur page cible"
"listerPatternCible_boucler","Boucler"
"listerPatternCible_oui","Oui"
"listerPatternCible_non","Non"
"listerPatternCible_table_structure","Structure"
"listerPatternCible_table_position","Position"
"listerPatternCible_table_action","Action"
"listerPatternCible_confirmation_suppression","Etes-vous sur de vouloir supprimer ce schéma ?"
"listerPatternCible_supprimer","Supprimer"
"listerPatternCible_modifier","Modifier"
"listerPatternCible_monter","Monter"
"listerPatternCible_descendre","Descendre"
"listerPatternCible_ajouter","Ajouter"



"config_limite_capping","Limite"
"config_valcap_sup","Vous allez utiliser une valeur déconseillée par MKT. Renseignez-vous sur www.liveoptim.com"
"config_valcap_nan","La limite doit être un entier"
"config_valcap_null","Veuillez renseigner une valeur"
"config_export_csv","Faire une sauvegarde de la configuration de LiveOptim"
"config_table_file","Fichier :"
"config_table_all","Toutes (zip)"
"config_fichier_vide","Veuillez uploade un fichier"
"config_fichier_ncsv","Le fichier n'est pas un CSV"
"config_fichier_nzip","Le fichier n'est pas une archive ZIP"
"config_tout_cocher","Tout cocher"
"config_tout_decocher","Tout décocher"
"config_bouton_export","Export CSV"
"config_importation","Table à importer : "
"config_import_validation","Valider"
"config_backup_title","Sauvegarde des param&egrave;tres"
"config_import_title","Restauration des param&egrave;tres"
"config_backup_sql","Export SQL"
"pages_restrintes","Page"


"COM_LIVEOPTIM_LICENCE_FREE","Vous utilisez la version gratuite de LiveOptim, certaines fonctionnalités sont désactivées.<br />
								<b>Passez à la version premium pour profiter de toutes les fonctionnalités<br />
								ESSAI GRATUIT PENDANT 30 JOURS.</b>"
"COM_LIVEOPTIM_BOUTON_PRENIUM","<a class='btn_Prenuim'  href='#' onclick='displayInfoPrenium()'><b>MISE À JOUR PREMIUM</b> <br /><i>(30 jours gratuits)</i></a>"
"hintPrenium","<div onclick='fenetreInfoPreniumFermer()' class='hint2'>		<img alt='?' src='/skin/adminhtml/base/default/img/hint.png'><br>	Cette fonctionalité est indisponible dans la version gratuite. <br> Passez à la version Premium pour en disposer.		</div>"
"COM_LIVEOPTIM_MSG_MOT_CLE","Vous ne pouvez ajouter que 10 associations mot clé/page cible. Upgradez votre LiveOptim : plus aucune limite de mots-clés"
"COM_LIVEOPTIM_MSG_PAGES_RESTREINTE","Vous n'avez le droit qu'à 10 pages restreintes. Passez à la version Premium pour ne plus avoir de limite."

//Cache
"COM_LIVEOPTIM_CACHE_TITRE","Gestion du cache"
"COM_LIVEOPTIM_CACHE_TEXT","LiveOptim utilise un système de cache pour accélérer le traitement de vos pages<br />Cliquer ci-dessous pour vider ce cache"
"COM_LIVEOPTIM_BTN_CACHE_VIDE",VIDER LE CACHE"
"COM_LIVEOPTIM_BTN_CACHE_ACTIV","Activer"

//Inscription
"inscription_titre","Inscription"
"inscription_texte","L'utilisation du plugin requiert la création d'un compte auprès de nos services"
"inscription_email","Email : "
"inscription_url","URL de votre site :"
"inscription_pass","Mot de passe de votre compte :"
"inscription_btnInscrip","COMMENCER L'OPTIMISATION"

"inscription_mail_vide","Vous devez indiquer un e-mail"
"inscription_mail_trop_long","Vous devez indiquer un e-mail plus court"
"inscription_mail_invalid","Vous devez indiquer un e-mail valide"
"inscription_url_vide","Vous devez indiquer le nom de domaine sur lequel sera activé LiveOptim<sup>&copy;</sup>"
"inscription_url_trop_long","Vous devez indiquer un nom de domaine plus court"
"inscription_url_deja_util","Ce nom de domaine a déjà été utilisé"
"inscription_compte_already_create_wrong_email","Le compte existe déja! Veuillez indiquer l'adresse avec laquelle vous vous ête inscrit."
"inscription_compte_already_create_wrong_password","Compte existant, veuillez renseigner le mot de passe de votre compte LiveOptim."


//Fenetre Prenuim

"COM_LIVEOPTIM_FNT_PRE_ALL_PRODUCT","TOUT NOS PRODUITS"
"COM_LIVEOPTIM_FNT_PRE_OTHER_PRODUCT","Découvrez aussi les autres produits de la gamme de LiveOptim"
"COM_LIVEOPTIM_FNT_PRE_MORE_INFO","+ D'INFO"

"COM_LIVEOPTIM_FNT_PRE_TXT_MKT900","1 Prestation TOTALE d'un an sur votre site web.
										Hotline gratuite, timeline 7/7, team support, etc... <br />"
"COM_LIVEOPTIM_FNT_PRE_PRIX_MKT900","900&euro; TTC"
"COM_LIVEOPTIM_FNT_PRE_TXT_SO"," Toutes vos analyses SEO sur 1 plateforme !
								Audit de site, ranking à la demande, suivi analytic des positions, etc...<br />"
"COM_LIVEOPTIM_FNT_PRE_PRIX_SO","9.90&euro; TTC / MOIS"
"COM_LIVEOPTIM_FNT_PRE_COMING_SOON","Bientôt"



"COM_LIVEOPTIM_FNT_PRE_UN_KEY","Mots clés illimités "
"COM_LIVEOPTIM_FNT_PRE_UN_TARGET","Pages cible illimitées "
"COM_LIVEOPTIM_FNT_PRE_CACHE","Système de cache inclus <br />(Optimisation du temps de chargement) "
"COM_LIVEOPTIM_FNT_PRE_CUSTOM_TAG","Personalisation des schémas d'optimisation"
"COM_LIVEOPTIM_FNT_PRE_TARGET","Schéma d'optimisation spécifique sur pages cibles"
"COM_LIVEOPTIM_FNT_PRE_LOOP","Option: schéma en boucle "
"COM_LIVEOPTIM_FNT_PRE_CAPPING","Système de Capping <br />(Alerte de Sur-Optimisation) "
"COM_LIVEOPTIM_FNT_PRE_EXCLUD_PAGES","Option : pages exclues (sans optimisation)"
"COM_LIVEOPTIM_FNT_PRE_EXECEPTION","Personnalisation des balises restreintes"
"COM_LIVEOPTIM_FNT_PRE_SUPPORT","Support Premium "
"COM_LIVEOPTIM_FNT_PRE_TWITER","Support 24/7 Twiter Timeline "
"COM_LIVEOPTIM_FNT_PRE_HOTLINE","Hotline Gratuit"
"COM_LIVEOPTIM_FNT_PRE_CHAT","LiveChat "
"COM_LIVEOPTIM_FNT_PRE_UPGRADE","METTRE A JOUR"


// code401.php
"code401_titre","Code 401."

// code403.php
"code403_titre","Code 403."

// code404.php
"code404_titre","Code 404."
